Data Source																																																															
																																																															
Last Updated Date																																																															
																																																															
Country Name	Sex	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Central Europe and the Baltics	male	44117889	44556588	44967955	45403130	45858081	46238392	46604193	47056350	47477668	47838429	48099156	48344749	48700652	49073627	49483085	49938386	50386213	50798978	51151074	51455793	51746620	52031785	52322786	52597849	52857040	53095245	53325242	53547278	53722777	53759611	53711158	53553563	53351244	53289122	53250876	53142927	52996151	52867238	52746647	52627522	52323168	51943548	51593196	51427912	51287572	51151207	51023769	50833704	50654999	50567585	50397708	50292655	50190366	50093248	50000020	49902655	49794663	49690815	49614561	49567024	49468508	49097155
Switzerland	male	2581133	2634845	2706282	2768499	2817625	2852648	2884795	2923008	2962164	2997387	3019526	3035187	3057922	3078737	3093216	3089699	3069826	3057628	3056481	3061943	3074183	3091975	3111529	3125801	3137905	3152945	3170308	3191083	3215606	3243454	3279769	3322020	3358413	3389541	3416775	3439260	3453854	3461997	3472473	3490139	3510707	3533011	3561139	3589820	3616695	3642259	3667699	3705120	3758858	3810541	3853536	3900073	3945595	3995499	4048150	4097813	4147577	4190034	4221862	4253063	4285784	4319945
Channel Islands	male	52552	53276	53852	54416	55012	55633	56262	56903	57533	58121	58678	59238	59785	60281	60724	61127	61411	61542	61598	61609	61590	61808	62376	63049	63712	64392	65085	65776	66480	67183	67861	68329	68545	68666	68732	68770	68969	69360	69755	70118	70420	70848	71489	72148	72809	73492	74161	74823	75493	76153	76785	77253	77683	78314	78916	79598	80392	81190	82353	83603	84587	85444
Chile	male	4092573	4176394	4260363	4342445	4424102	4506843	4588112	4668181	4748792	4829270	4909600	4989903	5068141	5146349	5226977	5309036	5390249	5471239	5553360	5634857	5715949	5798244	5881381	5963481	6046063	6132837	6225400	6324042	6426615	6530854	6636684	6744934	6854273	6961685	7066850	7168506	7266190	7361319	7453481	7541838	7627655	7711571	7794228	7874834	7952250	8028913	8107283	8186994	8268938	8353799	8437983	8521805	8605184	8688160	8775549	8865948	8971935	9114379	9281300	9450404	9579957	9675022
China	male	341138996	337450093	340026760	348325853	356360258	364804644	374986192	384642262	394735485	405646633	416968741	428564524	439217831	449348529	458696311	466815575	474033212	480472686	486875919	493349888	499521578	505914924	513390374	520835742	527694048	534936840	542996840	551857867	560925001	569736272	578362685	586550906	594017657	601094975	608141512	615007084	621705337	628320340	634564886	640278062	645562937	650413443	654865007	659030348	663027988	667008138	670816557	674398683	677925783	681368810	684712330	688484213	693176026	697792609	702159650	706169297	710100087	714208198	717291023	719565010	720928153	721140373
Cote d'Ivoire	male	1881552	1954831	2033833	2117115	2203695	2293516	2386709	2483409	2584124	2691270	2808143	2936512	3075861	3223930	3379024	3540667	3691129	3830025	3972910	4119419	4270600	4425926	4584815	4746889	4911400	5077350	5244192	5417356	5610976	5825099	6048166	6276619	6510014	6747743	6988958	7235560	7488727	7748685	8007627	8247013	8469483	8688294	8909248	9133271	9356595	9579903	9803630	10028098	10254400	10483883	10717965	10944299	11165128	11391437	11652068	11950528	12257085	12572382	12893352	13218128	13547621	13877714
Cameroon	male	2496189	2524477	2570050	2632409	2697379	2764995	2835441	2908926	2985727	3066015	3150133	3238255	3330064	3425369	3524086	3626163	3727081	3827034	3935784	4051326	4190110	4345373	4455258	4553171	4688249	4837406	4993128	5155068	5319025	5484873	5656408	5830693	6006615	6186192	6367688	6549266	6731150	6914047	7100689	7292705	7488888	7689826	7900648	8121554	8349841	8583601	8822729	9073988	9337569	9609692	9890121	10176648	10469879	10771471	11106213	11463852	11814923	12157838	12501234	12855489	13210626	13564231
Colombia	male	7811878	8061302	8318055	8580512	8847794	9118899	9389974	9659663	9927339	10190531	10450228	10703420	10952691	11204549	11457953	11713426	11970381	12237835	12519254	12808303	13107504	13412729	13722325	14040382	14362438	14679273	14993112	15309275	15628778	15952865	16281573	16605752	16926884	17252549	17580991	17906602	18226168	18544061	18858347	19166664	19469885	19769644	20066543	20357979	20643488	20920388	21186610	21442913	21686623	21925966	22167933	22405198	22632420	22850386	23060580	23272374	23517966	23874571	24331054	24779301	25139588	25415242
Comoros	male	97171	99149	101196	103295	105443	107672	109976	112504	115363	118418	121627	125019	128615	132440	136512	140773	145277	150078	155120	160357	165532	170274	174590	178892	183435	188231	193270	198536	204008	209652	215287	220681	225897	230988	235983	241029	246190	251442	256769	261808	266733	272077	277671	283149	288795	294921	301235	307665	314245	321030	328043	335285	342717	350298	358036	365933	373999	381884	389497	397126	404903	412703
Cabo Verde	male	98870	101406	104963	108928	113023	117263	121680	126284	131077	136059	140735	143732	144798	145232	145716	146275	146786	147169	147518	147876	148798	150857	153508	156131	158663	161137	163604	166085	168584	171266	174630	178805	183516	188520	193566	198511	203394	208271	213102	217865	222518	227001	231264	235308	239155	242873	246494	249996	253369	256599	259594	262614	265726	268717	271704	274677	277736	280983	284085	286974	289745	292344
Costa Rica	male	682455	707489	733055	758976	785063	811096	837030	862766	887868	912558	937247	961980	986856	1012096	1037979	1064693	1092518	1121564	1151907	1183549	1216189	1249954	1285040	1321306	1358572	1396589	1435166	1473947	1512773	1551852	1591754	1632684	1674268	1716205	1758226	1800079	1841732	1883219	1924069	1963914	2002605	2039504	2074083	2106901	2138782	2170068	2200829	2231315	2261818	2291917	2321021	2349468	2377400	2404428	2430257	2455070	2479289	2502859	2525472	2546376	2564622	2578741
Caribbean small states	male	2043707	2085337	2125202	2165273	2205099	2243913	2281769	2318686	2354795	2390443	2426689	2463620	2497381	2527811	2557693	2586908	2615299	2643365	2671656	2699918	2729442	2760417	2791559	2822457	2851905	2880158	2906463	2928923	2949349	2969307	2988288	3010046	3037122	3065699	3094462	3124790	3154755	3183372	3211472	3238136	3262567	3285678	3308730	3331191	3352212	3372018	3391669	3410872	3429535	3448719	3467933	3487222	3509071	3531712	3552802	3572786	3591011	3607890	3646495	3671199	3676608	3693924
Cuba	male	3719740	3793999	3870550	3950419	4032185	4113520	4193520	4272358	4350620	4428970	4507737	4585837	4658870	4724372	4783058	4834635	4878787	4915356	4944611	4967316	4984745	5003025	5030293	5065597	5103740	5143371	5184718	5228899	5277005	5326939	5375743	5418165	5451717	5478723	5498467	5513090	5526101	5538332	5550561	5562926	5574842	5585454	5595307	5606222	5616987	5625118	5630144	5632650	5633996	5635364	5637179	5639643	5643060	5647146	5650315	5652022	5650455	5644544	5637159	5628282	5616818	5589258
Curacao	male	62090	62646	63711	64859	65926	66911	67549	68204	69207	70268	71258	72483	72535	72035	72646	72923	72951	72876	72223	71873	71851	72013	72608	73007	73268	73521	73382	72679	71494	70261	69405	68799	68423	68446	68420	68467	68808	68886	67491	64903	62100	59750	59798	61016	62021	63550	65110	66309	67048	67387	68140	68996	69642	70680	71827	72917	73780	74067	75798	76024	74175	73008
Cayman Islands	male	3979	4058	4147	4241	4338	4436	4536	4641	4749	4854	5036	5336	5672	6005	6345	6683	7014	7348	7672	8000	8366	8767	9172	9588	10018	10457	10900	11335	11771	12226	12781	13422	14075	14745	15422	16100	16779	17458	18127	18787	19468	20176	20890	21605	22323	23046	23777	24523	25274	26033	26797	27569	28348	29112	29853	30572	31270	31954	32627	33285	33941	34398
Cyprus	male	288377	292928	296197	299277	301952	304533	307336	310148	312764	315166	317346	319288	320954	322394	319972	316854	319372	324431	329509	334647	339860	345167	350797	356923	363245	369474	375614	381671	387621	393454	399170	404752	410698	418524	427656	436545	445236	453764	462147	470377	478455	486510	494964	503815	512738	521680	530622	539584	548572	557572	566592	574033	579665	584829	589809	594938	600193	605429	610590	615637	619932	623154
Czechia	male	4657460	4648475	4666363	4688273	4715968	4741111	4761001	4775708	4786059	4794446	4774422	4758074	4777095	4803500	4836069	4870645	4903536	4933471	4961080	4986370	4993203	4992487	5000146	5005498	5009671	5013774	5017139	5020637	5025208	5028657	5015335	5003884	5010383	5017342	5021323	5020124	5015894	5011957	5008696	5005205	4992793	4976754	4971013	4973473	4978776	4989584	5007301	5040642	5086689	5119992	5139122	5152709	5161272	5163357	5170017	5182914	5195724	5212288	5232447	5255756	5269701	5173976
Germany	male	34026240	34343338	34697958	35068225	35396796	35742529	36082008	36284066	36479077	36798468	36946325	37038483	37236855	37369239	37397163	37271412	37125134	37054626	37036039	37067953	37163759	37243612	37236122	37170588	37078420	37038292	37108593	37228839	37444596	37810826	38217081	38574105	38940940	39264679	39461000	39626806	39779721	39864677	39887145	39922472	39980931	40049852	40120267	40149300	40151562	40147180	40131513	40116978	40088841	40042085	40037382	39357575	39486445	39647229	39859493	40244901	40598245	40766909	40899311	40996355	41032520	41049155
Djibouti	male	42556	44201	46102	48349	50956	53836	56855	59971	63188	67010	71463	76347	81806	87799	94770	103299	113579	125371	137937	150059	160619	169167	176038	182333	189526	198769	210507	224441	239415	258712	286596	312096	309348	303343	309483	312600	320139	331724	345318	357573	368935	380707	392572	401257	407280	413536	421567	430661	439452	448524	457521	466253	474899	483527	492063	500482	508832	517141	525424	533626	541471	548890
Dominica	male	27872	28358	28793	29215	29629	30072	30549	31036	31549	32084	32560	32958	33334	33719	34117	34512	34888	35239	35559	35852	36094	36166	36057	35905	35764	35617	35432	35215	34987	34752	34472	34285	34286	34336	34377	34411	34425	34414	34380	34292	34133	34059	34159	34296	34414	34519	34590	34630	34663	34697	34717	34718	34761	34742	34926	35144	35179	35299	35452	35673	35883	36039
